item_id,idx,artist_id,variant
2_1,0,2,1
2_2,1,2,2
2_3,2,2,3
2_4,3,2,4
2_5,4,2,5
6_1,5,6,1
6_2,6,6,2
6_3,7,6,3
6_4,8,6,4
6_5,9,6,5
7_1,10,7,1
7_2,11,7,2
7_3,12,7,3
7_5,13,7,5
8_1,14,8,1
8_2,15,8,2
8_4,16,8,4
8_5,17,8,5
10_1,18,10,1
10_2,19,10,2
10_3,20,10,3
10_4,21,10,4
10_5,22,10,5
11_1,23,11,1
11_3,24,11,3
11_4,25,11,4
11_5,26,11,5
12_1,27,12,1
12_2,28,12,2
12_3,29,12,3
12_4,30,12,4
12_5,31,12,5
13_1,32,13,1
13_2,33,13,2
13_3,34,13,3
13_4,35,13,4
13_5,36,13,5
15_1,37,15,1
15_2,38,15,2
15_3,39,15,3
15_4,40,15,4
15_5,41,15,5
16_1,42,16,1
16_2,43,16,2
16_3,44,16,3
16_4,45,16,4
16_5,46,16,5
17_1,47,17,1
17_2,48,17,2
17_3,49,17,3
17_4,50,17,4
18_1,51,18,1
18_2,52,18,2
18_3,53,18,3
18_4,54,18,4
18_5,55,18,5
19_1,56,19,1
19_2,57,19,2
19_3,58,19,3
19_4,59,19,4
19_5,60,19,5
25_1,61,25,1
25_2,62,25,2
25_3,63,25,3
25_4,64,25,4
25_5,65,25,5
27_1,66,27,1
27_2,67,27,2
27_3,68,27,3
27_4,69,27,4
28_1,70,28,1
28_2,71,28,2
28_3,72,28,3
28_4,73,28,4
28_5,74,28,5
30_1,75,30,1
30_2,76,30,2
30_3,77,30,3
30_4,78,30,4
30_5,79,30,5
32_1,80,32,1
32_2,81,32,2
32_3,82,32,3
32_4,83,32,4
32_5,84,32,5
34_1,85,34,1
34_2,86,34,2
34_3,87,34,3
34_4,88,34,4
34_5,89,34,5
36_1,90,36,1
36_2,91,36,2
36_3,92,36,3
36_4,93,36,4
36_5,94,36,5
38_1,95,38,1
38_2,96,38,2
38_3,97,38,3
38_4,98,38,4
38_5,99,38,5
39_1,100,39,1
39_2,101,39,2
39_3,102,39,3
39_4,103,39,4
39_5,104,39,5
40_1,105,40,1
40_2,106,40,2
40_3,107,40,3
40_4,108,40,4
40_5,109,40,5
41_1,110,41,1
41_2,111,41,2
41_3,112,41,3
41_4,113,41,4
41_5,114,41,5
45_1,115,45,1
45_2,116,45,2
45_3,117,45,3
45_4,118,45,4
45_5,119,45,5
46_1,120,46,1
46_2,121,46,2
46_3,122,46,3
46_4,123,46,4
46_5,124,46,5
47_1,125,47,1
47_2,126,47,2
47_3,127,47,3
47_4,128,47,4
47_5,129,47,5
49_1,130,49,1
49_2,131,49,2
49_3,132,49,3
