timestamp,experiment_name,model,dataset,vision_feature,text_feature,audio_feature,seed,reg_weight,layers,learning_rate,valid_recall@5,valid_recall@10,valid_recall@20,valid_recall@50,valid_ndcg@5,valid_ndcg@10,valid_ndcg@20,valid_ndcg@50,valid_precision@5,valid_precision@10,valid_precision@20,valid_precision@50,valid_map@5,valid_map@10,valid_map@20,valid_map@50,test_recall@5,test_recall@10,test_recall@20,test_recall@50,test_ndcg@5,test_ndcg@10,test_ndcg@20,test_ndcg@50,test_precision@5,test_precision@10,test_precision@20,test_precision@50,test_map@5,test_map@10,test_map@20,test_map@50
2025-11-08 02:20:10,LATTICE_text_minilm,LATTICE,lastfm,None,text_minilm.npy,None,999,0.001,1,0.005,0.0651,0.1205,0.2029,0.359,0.1248,0.1292,0.1613,0.2252,0.1242,0.1129,0.0945,0.066,0.1189,0.0944,0.103,0.1236,0.0679,0.1222,0.2001,0.349,0.1657,0.1627,0.1804,0.2464,0.1643,0.1492,0.1241,0.0854,0.1575,0.1195,0.1119,0.1338
2025-11-08 04:01:03,LATTICE_image_vit,LATTICE,lastfm,image_vit.npy,None,None,999,0.001,1,0.005,0.0609,0.1218,0.2104,0.358,0.1193,0.1276,0.163,0.2237,0.1189,0.1145,0.0974,0.0661,0.102,0.0846,0.0959,0.1156,0.0684,0.1193,0.1998,0.3415,0.1664,0.1608,0.1791,0.2427,0.1652,0.1475,0.1228,0.0839,0.1456,0.1109,0.1047,0.1258
2025-11-08 06:40:11,LATTICE_text_minilm_image_vit,LATTICE,lastfm,image_vit.npy,text_minilm.npy,None,999,0.001,1,0.005,0.0662,0.1208,0.2076,0.359,0.1291,0.1309,0.1647,0.2269,0.1279,0.1137,0.0963,0.0663,0.12,0.094,0.1036,0.1238,0.0692,0.1233,0.2017,0.3445,0.1685,0.164,0.1813,0.2446,0.1685,0.1516,0.1248,0.0842,0.1564,0.1184,0.1108,0.1316
2025-11-08 09:31:23,LATTICE_text_clip_image_clip,LATTICE,lastfm,image_clip.npy,text_clip.npy,None,999,0.001,1,0.005,0.0671,0.123,0.2106,0.3631,0.1291,0.1326,0.1666,0.2291,0.128,0.1159,0.097,0.0666,0.1205,0.0952,0.1048,0.1253,0.0714,0.1244,0.2038,0.3449,0.1734,0.1676,0.1847,0.2477,0.1721,0.1537,0.1254,0.0843,0.1624,0.1216,0.1138,0.1349
2025-11-08 12:08:44,LATTICE_audioclip_full,LATTICE,lastfm,image_audioclip.npy,text_audioclip.npy,audio_audioclip.npy,999,0.001,1,0.005,0.0666,0.1243,0.2083,0.3593,0.1281,0.1333,0.1649,0.2271,0.1277,0.1179,0.0958,0.066,0.116,0.0937,0.1025,0.1228,0.0701,0.1231,0.204,0.3481,0.1692,0.1643,0.1833,0.2475,0.1682,0.1508,0.1255,0.0853,0.1559,0.1173,0.1114,0.1329
2025-11-18 21:11:57,New_LATTIC_text_minilm,LATTICE,lastfm,None,text_minilm.npy,None,999,0.001,3,0.005,0.0729,0.1314,0.2224,0.36,0.1373,0.1413,0.1761,0.2329,0.1364,0.1228,0.1013,0.0661,0.1215,0.0996,0.1102,0.1286,0.077,0.1306,0.2032,0.3477,0.1876,0.1765,0.1894,0.2543,0.184,0.1568,0.1239,0.085,0.1692,0.1258,0.1159,0.1377
2025-11-18 21:37:59,New_LATTIC_image_vit,LATTICE,lastfm,image_vit.npy,None,None,999,0.001,3,0.005,0.0702,0.1297,0.214,0.3635,0.13,0.1366,0.1692,0.2308,0.1299,0.1192,0.0981,0.0666,0.1124,0.0934,0.1035,0.1237,0.0749,0.1268,0.2041,0.3548,0.1791,0.1707,0.1872,0.2549,0.1756,0.1526,0.124,0.0866,0.1574,0.1191,0.1117,0.1345
2025-11-18 22:00:19,New_LATTIC_text_minilm_image_vit,LATTICE,lastfm,image_vit.npy,text_minilm.npy,None,999,0.001,3,0.005,0.0716,0.1331,0.2197,0.3609,0.1336,0.1403,0.1739,0.2319,0.1324,0.1225,0.1006,0.0661,0.1173,0.0971,0.1081,0.1269,0.0757,0.1258,0.2082,0.3484,0.1856,0.1722,0.1898,0.2529,0.1825,0.1535,0.126,0.0851,0.1646,0.1209,0.1131,0.1344
2025-11-18 22:22:41,New_LATTIC_text_clip_image_clip,LATTICE,lastfm,image_clip.npy,text_clip.npy,None,999,0.001,3,0.005,0.0727,0.1327,0.2181,0.3611,0.1377,0.1421,0.1756,0.2342,0.1355,0.1221,0.1009,0.0664,0.1205,0.0993,0.11,0.1291,0.0726,0.1232,0.2079,0.347,0.1762,0.1667,0.1866,0.2492,0.1751,0.1507,0.1264,0.0849,0.1564,0.116,0.1106,0.1319
2025-11-18 22:46:19,New_LATTIC_audioclip_full,LATTICE,lastfm,image_audioclip.npy,text_audioclip.npy,audio_audioclip.npy,999,0.001,3,0.005,0.0728,0.1284,0.2171,0.3622,0.1377,0.1396,0.1744,0.2336,0.1363,0.1204,0.1005,0.0665,0.119,0.097,0.1086,0.1278,0.0712,0.1238,0.2072,0.3485,0.1742,0.1669,0.1864,0.2501,0.1718,0.151,0.1264,0.0853,0.1538,0.116,0.1104,0.1324
