timestamp,experiment_name,model,dataset,vision_feature,text_feature,audio_feature,seed,reg_weight,layers,learning_rate,valid_recall@5,valid_recall@10,valid_recall@20,valid_recall@50,valid_ndcg@5,valid_ndcg@10,valid_ndcg@20,valid_ndcg@50,valid_precision@5,valid_precision@10,valid_precision@20,valid_precision@50,valid_map@5,valid_map@10,valid_map@20,valid_map@50,test_recall@5,test_recall@10,test_recall@20,test_recall@50,test_ndcg@5,test_ndcg@10,test_ndcg@20,test_ndcg@50,test_precision@5,test_precision@10,test_precision@20,test_precision@50,test_map@5,test_map@10,test_map@20,test_map@50
2025-11-04 02:33:34,LATTICE_text_minilm,LATTICE,movielens_1m,None,text_minilm.npy,None,999,0.001,1,0.005,0.1105,0.1794,0.2806,0.4554,0.2011,0.208,0.2332,0.2889,0.1729,0.1487,0.1243,0.0882,0.1268,0.1111,0.1107,0.1229,0.1131,0.1848,0.2862,0.4603,0.2169,0.2238,0.249,0.3073,0.1974,0.1693,0.1391,0.098,0.1341,0.117,0.1162,0.13
2025-11-05 08:21:58,LATTICE_audio_vggish,LATTICE,movielens_1m,None,None,audio_vggish.npy,999,0.001,1,0.005,0.1077,0.177,0.2746,0.4518,0.1969,0.204,0.2272,0.284,0.1723,0.1478,0.1216,0.0876,0.1244,0.1085,0.1072,0.1195,0.108,0.1806,0.2805,0.4536,0.2114,0.2203,0.2446,0.3025,0.1908,0.1676,0.1375,0.0971,0.1312,0.1153,0.1139,0.1273
2025-11-05 18:42:40,LATTICE_image_vit,LATTICE,movielens_1m,image_vit.npy,None,None,999,0.001,1,0.005,0.1103,0.1776,0.2808,0.459,0.2001,0.2066,0.2323,0.289,0.1729,0.1479,0.1233,0.0877,0.1259,0.1103,0.11,0.1225,0.1118,0.1835,0.2828,0.4589,0.2139,0.2221,0.2467,0.3061,0.1931,0.1677,0.1371,0.0973,0.132,0.1158,0.1151,0.1295
2025-11-06 04:50:01,LATTICE_text_minilm_image_vit,LATTICE,movielens_1m,image_vit.npy,text_minilm.npy,None,999,0.001,1,0.005,0.1104,0.181,0.2847,0.4605,0.2016,0.2097,0.2354,0.2914,0.1732,0.1499,0.1249,0.0884,0.1272,0.1124,0.1121,0.1243,0.1146,0.1857,0.2867,0.4649,0.2172,0.2247,0.2504,0.3102,0.1964,0.1689,0.1392,0.0983,0.1343,0.1181,0.1179,0.1322
2025-11-07 01:31:18,LATTICE_text_clip_image_clip,LATTICE,movielens_1m,image_clip.npy,text_clip.npy,None,999,0.001,1,0.005,0.1108,0.1812,0.2836,0.4608,0.2048,0.2117,0.2366,0.2929,0.1753,0.1505,0.1249,0.0888,0.1303,0.1141,0.1133,0.1256,0.1147,0.1856,0.2887,0.4649,0.2172,0.2248,0.2513,0.3106,0.1963,0.1694,0.1402,0.099,0.1344,0.118,0.118,0.1323
2025-11-08 00:57:15,LATTICE_audioclip_full,LATTICE,movielens_1m,image_audioclip.npy,text_audioclip.npy,audio_audioclip.npy,999,0.001,1,0.005,0.1114,0.1814,0.2821,0.4595,0.2032,0.2103,0.2345,0.2914,0.1755,0.1508,0.1245,0.0892,0.1289,0.1129,0.1119,0.1245,0.1133,0.1883,0.2892,0.4641,0.2199,0.2284,0.2532,0.3116,0.1978,0.1721,0.1409,0.0989,0.1375,0.1206,0.1196,0.1333
2025-11-09 05:11:19,LATTICE_text_minilm_image_vit_audio_vggish,LATTICE,movielens_1m,image_vit.npy,text_minilm.npy,audio_vggish.npy,999,0.001,1,0.005,0.1106,0.1823,0.2808,0.4574,0.2037,0.2116,0.2351,0.2913,0.1759,0.1517,0.125,0.0889,0.1297,0.114,0.1128,0.125,0.1137,0.1861,0.2878,0.4634,0.2194,0.2267,0.2522,0.3109,0.1971,0.1702,0.1404,0.0989,0.1366,0.1194,0.1188,0.1326
2025-11-11 04:19:18,LATTICE_text_clip_image_clip_audio_vggish,LATTICE,movielens_1m,image_clip.npy,text_clip.npy,audio_vggish.npy,999,0.001,1,0.001,0.1094,0.1806,0.282,0.4594,0.2029,0.2109,0.2351,0.2916,0.1748,0.1514,0.1249,0.0889,0.1291,0.1135,0.1124,0.1247,0.114,0.1876,0.2881,0.4629,0.2204,0.2279,0.2528,0.3111,0.1988,0.1715,0.1406,0.0986,0.1376,0.1202,0.1194,0.1331
2025-11-17 21:55:26,New_LATTIC_text_minilm,LATTICE,movielens_1m,None,text_minilm.npy,None,999,0.001,3,0.005,0.1153,0.1853,0.2876,0.4643,0.2082,0.2145,0.2392,0.2956,0.1805,0.1536,0.1273,0.0904,0.1332,0.1163,0.1151,0.1275,0.114,0.1878,0.2915,0.4682,0.2201,0.228,0.2545,0.3138,0.1993,0.1721,0.1425,0.1003,0.1368,0.1199,0.12,0.1342
2025-11-18 00:22:55,New_LATTIC_audio_vggish,LATTICE,movielens_1m,None,None,audio_vggish.npy,999,0.001,3,0.005,0.1133,0.1818,0.2852,0.4612,0.2069,0.213,0.2378,0.2936,0.1789,0.1532,0.127,0.0898,0.1322,0.1157,0.1143,0.1264,0.1129,0.1877,0.2904,0.467,0.2185,0.2272,0.2531,0.3122,0.1985,0.1724,0.1417,0.0998,0.1357,0.1194,0.1191,0.1331
